pop,latency,window
pop15,17,50
pop15,18,80
pop15,19,90
pop15,21,95
pop15,30,99
pop15,49,99.9
pop15,56,99.99
pop15,69,99.999
pop15,69,99.9999
pop18,14,50
pop18,18,80
pop18,20,90
pop18,22,95
pop18,30,99
pop18,57,99.9
pop18,68,99.99
pop18,68,99.999
pop18,68,99.9999
